id,lokasi,udara,kebersihan,fasilitas,harga,variasi,pelayanan,penyajian,pembayaran,sanitasi
1,5,2,4,3,3,2,4,3,3,3
2,3,2,3,4,4,4,5,4,4,4
3,5,5,4,4,3,2,3,3,3,4
4,4,2,4,4,4,4,5,4,2,2
5,4,1,3,4,4,5,5,4,2,1
6,5,1,3,4,4,5,3,4,4,4
7,4,2,1,2,3,5,5,4,4,2
8,4,2,3,4,4,4,5,4,3,4
9,5,3,4,3,5,5,5,5,5,3
10,4,2,3,3,3,4,4,4,3,2
11,4,3,3,1,3,3,4,3,3,1
12,3,3,4,2,3,2,3,4,4,3
13,3,2,3,3,4,3,1,3,2,2
14,5,4,5,3,5,4,5,5,5,5
15,5,5,4,2,3,3,3,3,3,3
16,1,1,4,3,1,3,4,5,5,1
17,3,2,3,2,2,2,3,4,2,3
18,3,2,3,4,4,4,5,4,5,3
19,5,4,5,4,5,4,3,4,3,5
20,3,3,4,2,4,4,5,4,5,5
21,3,1,3,2,2,4,4,4,3,4
22,4,3,2,3,3,3,2,3,2,2
23,4,4,5,3,4,4,3,4,5,4
24,4,1,2,5,5,5,3,3,5,3
25,3,1,3,3,4,4,5,5,3,3
26,5,3,3,4,5,5,5,4,4,1
27,3,1,4,3,3,4,4,4,4,2
28,2,1,4,4,2,5,5,4,5,4
29,5,5,3,3,3,4,4,4,4,3
30,5,3,3,2,4,5,5,3,3,4
31,4,3,4,4,3,2,3,3,4,4
32,4,5,3,3,4,2,3,4,5,2
33,4,3,4,4,4,4,4,4,4,4
34,5,2,4,2,4,5,4,3,5,4
35,4,1,1,2,3,3,2,3,4,2
36,3,3,3,2,2,4,3,2,4,2
37,2,1,3,5,5,5,4,4,5,3
38,3,2,3,5,4,4,3,5,2,3
39,4,3,4,4,3,4,4,4,5,3
40,4,3,3,2,3,3,3,4,2,4
41,3,1,2,2,2,4,4,4,2,2
42,5,2,5,4,3,5,5,5,5,5
43,5,4,3,4,3,5,4,3,5,3
44,4,2,3,4,5,3,5,4,5,4
45,4,3,4,5,3,5,4,4,5,4
46,3,2,3,2,3,4,4,4,3,4
47,4,5,5,5,4,3,4,5,4,3
48,4,2,3,3,3,2,4,4,4,4
49,2,2,4,4,2,5,4,4,3,5
50,2,1,4,4,4,5,3,4,3,3
51,3,2,3,4,3,4,4,4,3,2
52,3,4,3,1,2,2,1,1,2,3
53,4,3,3,4,3,3,3,4,3,3
54,2,1,1,1,3,4,4,4,3,2
55,3,1,5,4,4,3,3,4,4,3
56,5,4,4,4,4,5,5,4,4,4
57,3,2,4,4,4,4,4,4,2,1
58,2,1,4,4,2,5,4,4,5,4
59,4,3,3,4,2,3,3,3,1,5
60,2,1,1,2,3,3,3,3,2,2
61,5,2,3,4,5,5,3,4,1,2
62,4,4,3,4,4,4,4,4,3,3
63,4,1,2,3,2,4,3,3,3,2
64,2,2,2,2,1,2,1,1,1,1
65,5,1,1,3,1,1,4,4,1,1
66,4,3,2,2,5,5,4,3,2,4
67,2,2,3,3,3,4,3,4,2,4
68,3,3,4,4,4,5,5,4,5,5
69,5,4,3,5,4,4,4,4,4,3
70,4,2,3,3,3,4,3,4,3,4
71,5,4,4,2,4,3,3,3,3,3
72,4,2,3,4,4,4,4,4,5,4
73,3,3,3,4,3,3,4,3,3,3
74,4,2,4,4,4,4,5,3,5,3
75,3,2,3,3,4,4,3,3,4,3
76,5,3,4,3,3,3,4,4,3,3
77,4,4,4,3,3,4,3,3,4,4
78,2,1,3,1,3,3,5,2,4,2
79,4,1,2,4,4,4,4,4,4,3
80,3,3,3,2,1,2,2,3,3,2
81,2,3,3,4,1,1,2,4,2,4
82,4,3,4,5,5,5,5,5,5,4
83,3,3,3,1,1,3,3,3,3,5
84,4,2,3,4,4,4,4,4,4,3
85,2,1,4,4,4,4,4,4,3,4
86,3,3,3,4,4,4,4,4,3,2
87,3,3,2,4,5,3,3,3,4,4
88,3,2,4,4,3,5,5,5,5,4
89,4,2,4,4,3,4,4,3,3,2
90,5,5,5,5,5,5,5,5,5,5
91,4,2,5,5,4,5,5,5,5,3
92,4,2,3,3,3,4,3,4,2,3
93,4,2,4,4,3,4,5,5,5,4
94,3,2,3,2,3,4,3,3,5,2
95,5,3,3,3,3,5,4,4,4,3
96,4,3,2,4,4,3,4,5,5,4
97,4,2,4,2,3,5,4,4,2,1
98,5,3,4,4,5,4,4,4,4,3
99,4,4,4,4,4,5,4,4,5,4
100,2,2,5,5,4,2,4,3,5,2
101,4,3,5,3,4,4,4,4,4,3
102,4,4,4,4,4,4,4,4,4,3
103,4,3,4,5,5,4,4,3,5,4
104,5,3,4,3,2,2,4,4,4,3
105,3,1,2,2,1,2,5,4,1,3
106,4,3,3,4,4,4,4,4,4,5
107,4,2,3,4,3,4,3,3,1,2
108,4,4,4,4,5,3,4,5,5,3
109,4,2,3,3,4,5,5,5,4,4
110,1,2,3,2,3,2,4,4,4,3
111,4,2,4,3,3,4,3,3,4,2
